"id","kjonn","alder","okonomi","polskala","abort"
1649,1,39,1,2,1
1651,1,37,2,2,4
1652,1,31,2,2,5
1653,1,20,2,2,5
1656,1,20,3,2,3
1657,1,24,2,1,4
1658,0,18,NA,2,4
1660,0,49,2,2,3
1662,1,22,NA,6,1
1664,1,27,2,1,4
1667,1,52,3,4,2
1668,1,41,2,1,5
1670,0,44,2,1,4
1673,1,50,3,2,2
1674,1,58,2,2,4
1675,1,77,2,3,4
1677,1,52,2,2,5
1681,0,39,1,3,4
1682,1,32,3,NA,4
1683,1,27,2,2,NA
1685,1,51,3,2,4
1686,1,28,1,1,2
1688,1,48,3,6,1
1689,1,31,2,4,2
1690,1,50,3,2,4
1691,1,26,1,1,5
1695,1,28,2,2,5
1697,1,27,2,2,4
1699,1,47,3,3,2
1701,1,51,2,6,2
1702,1,67,2,2,2
1704,1,41,3,2,4
1706,1,43,2,2,NA
1707,1,48,2,2,4
1708,1,36,2,2,3
1710,1,20,2,1,4
1712,1,28,2,1,3
1713,1,33,3,2,2
1714,1,32,2,2,5
1716,0,70,2,2,3
1717,1,26,2,2,2
1719,1,35,3,1,2
1720,1,19,2,2,4
1721,1,45,2,1,5
1723,1,30,2,2,4
1725,1,31,2,1,4
1727,1,23,3,2,4
1728,1,76,3,5,2
1729,1,31,3,1,5
1730,1,31,2,2,5
1737,1,66,2,1,NA
1741,1,59,3,5,1
1742,1,30,2,2,4
1744,0,49,2,2,4
1745,1,60,NA,2,1
1747,0,59,3,2,5
1748,0,72,3,1,NA
1749,1,22,2,2,NA
1750,1,45,3,4,2
1752,0,56,3,2,5
1753,1,19,2,1,5
1754,0,56,2,2,1
1755,0,47,2,1,5
1756,1,20,2,2,4
1758,0,22,2,2,2
1759,0,32,2,3,NA
1760,1,35,2,1,5
1761,0,57,2,1,3
1762,1,40,2,1,5
1763,1,30,3,2,4
1765,0,73,3,1,4
1768,0,17,2,2,3
1774,0,43,2,2,1
1775,0,35,2,1,1
1776,0,51,2,1,2
1777,0,65,1,2,4
1778,0,61,2,6,1
1780,0,63,1,1,4
1781,1,27,2,1,2
1785,0,35,2,1,5
1786,1,64,2,4,1
1790,0,20,2,NA,NA
1791,0,79,3,2,4
1794,0,73,3,3,2
1795,0,67,2,2,NA
1796,0,62,2,2,5
1797,1,77,3,1,4
1798,0,19,1,2,5
1800,0,67,2,1,4
1801,1,55,3,2,1
1804,1,63,3,1,4
1805,1,33,2,1,4
1807,1,30,2,2,2
1809,1,31,1,1,4
1810,1,56,2,1,5
1811,0,69,2,2,4
1812,0,20,2,2,5
1813,1,63,3,1,4
1815,0,76,2,3,1
1816,1,59,2,4,3
1817,1,56,2,2,4
1818,1,32,3,3,3
1819,1,20,2,3,4
1822,1,58,NA,1,NA
1823,1,28,3,2,2
1824,0,63,2,2,5
1828,1,30,2,3,4
1829,1,70,1,5,4
1830,1,41,2,2,5
1832,1,52,3,1,4
1834,1,65,3,NA,4
1837,1,31,2,5,1
1838,1,29,2,1,4
1839,1,34,3,1,4
1840,0,46,1,1,5
1842,1,24,3,2,4
1844,1,38,2,1,5
1845,1,66,3,6,NA
1846,1,36,2,2,2
1847,0,71,1,2,NA
1849,0,77,2,4,2
1852,1,40,2,1,4
1854,1,33,2,2,4
1856,0,50,2,2,4
1858,0,30,NA,2,1
1860,1,27,NA,6,5
1862,1,34,1,2,5
1863,1,45,2,1,3
1866,1,69,1,1,3
1867,1,26,2,1,NA
1869,1,27,2,1,4
1872,0,47,2,2,5
1874,1,19,3,1,5
1875,1,29,2,1,3
1876,1,41,3,1,4
1877,1,24,2,2,4
1878,0,17,2,2,3
1879,1,41,3,2,NA
1880,0,61,2,3,2
1883,1,68,3,1,4
1885,0,64,2,3,2
1886,1,39,2,2,3
1887,1,54,2,2,5
1889,1,73,3,2,4
1891,1,32,2,1,NA
1892,1,50,1,1,4
1893,1,21,3,1,5
1896,0,59,3,2,2
1897,0,18,2,1,4
